Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Type of Event,Event_Genre,Audience,Link,Schedule Type,Final_Start_Date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
, The Temptations and Four Tops,, Wilbur Theatre 246 Tremont St,  Boston, MA ,84,"
For more than forty years  The Temptations have prospered  propelling popular music with a series of smash hits  and sold-out performances throughout the world. ""The crowds are bigger  the sales are sizzling ""; says one industry report. ""The outpouring of affection for this super-group has never been greater.""; The history of The Temptations is the history of contemporary American pop. An essential

artsboston.org
",,Concert,,,"
www.thewilburtheatre.com
",performance_based,5/12/2012,5/12/2012,,,ONCE,1,FR,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,temptations_med_medium.jpg,,,,,,,5/12/2012,5/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Carbon Leaf,, Brighton Music Hall 158 Brighton Ave,  Allston, MA ,40,"
Carbon Leaf is a five-piece rock band from Richmond  Virginia that is known for their Celtic / Bluegrass rock that was featured more prominently on their early releases on their own label  Constant Ivy Music. Their more recent albums  since signing to Vanguard Records in 2004  are more mainstream rock  though they still retain the influences of their Virginian music scene roots. On March 20  2010

boston.com
",,Concert,,, ,performance_based,7/12/2012,7/12/2012,,,ONCE,1,SU,1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,carbon_leaf.jpg,,,,,,,7/12/2012,7/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Dj Shadow,, Royale 279 Tremont ,  Boston, MA ,0,"
Joshua Paul Davis (born June 26  1972) better known as DJ Shadow is an American music producer  DJ and songwriter. He is considered a prominent figure in the development of instrumental hip hop and first gained notice with the release of his highly acclaimed debut album Endtroducing.....  which was constructed entirely from samples. He has an exceptionally large personal record collection  with over

last.fm
",,Concert,,, ,performance_based,15/12/2012,15/12/2012,,,ONCE,1,SA,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,m.jpg,,,,,,,15/12/2012,15/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Tyler Ward,, Brighton Music Hall 158 Brighton Ave,  Allston, MA ,54,"
Flatfoot 56 is a Celtic punk band from Chicago  Illinois. The group's use of Scottish Highland bagpipes has led to their classification as a Celtic punk band  comparable to Dropkick Murphys or Flogging Molly.The band formed in summer 2000 as a three-piece punk band. The three original members  who are brothers (Tobin Bawinkel  Justin Bawinkel  and Kyle Bawinkel)  started writing songs in Fall 2000

last.fm
",,Concert,,, ,performance_based,15/12/2012,15/12/2012,,,ONCE,1,FR,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,tyler_ward.jpg,,,,,,,15/12/2012,15/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Street Dogs At Paradise Rock Club,, Paradise Rock Club 967 Comm Ave,  Boston, MA ,37,"
The Casualties are an American punk band from New York City  New York  formed in 1990. Their musical style is usually classified as street punk or hardcore punk.The Casualties members aimed to return to what they viewed as the ""golden era"" of street punk  embodied by bands such as The Exploited  Charged GBH   which they believed had disappeared by 1985. During the early years  the lineup was stable

last.fm
",,Concert,,, ,performance_based,22/12/2012,22/12/2012,,,ONCE,1,SA,1,Monday,19:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,26915.jpg,,,,,,,22/12/2012,22/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Street Dogs At Paradise Rock Club,, Paradise Rock Club 967 Comm Ave,  Boston, MA ,37,"
Soulive is a funk/jazz trio that originated in Woodstock  New York  and is known for its solos and catchy  upbeat songs. The band consists of Eric Krasno (guitar)  Alan Evans (drums)  Neal Evans (Hammond B3 organ  bass keys  clavinet). Although they originated as a trio  the band worked extensively with different horn sections  which consisted of Sam Kininger (saxophone) from 2000 2003  and Rashawn

boston.com
",,Concert,,, ,performance_based,23/12/2012,23/12/2012,,,ONCE,1,FR,1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,73384812.png,,,,,,,23/12/2012,23/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Devil Makes Three,, Paradise Rock Club 967 Commonwealth Ave,  Boston, MA ,42,"
The dictionary defines the popular term ""comfort food""; as ""food prepared in a traditional style having a usually nostalgic or sentimental appeal.""; It has been known to have a buffering effect as it soothes the soul and spurs memories of more ""comforting""; times. If that concept holds up in the kitchen  then it makes perfect sense that it should hold true in the living room with its aural equivalent

artsboston.org
",,Concert,,, ,performance_based,28/12/2012,28/12/2012,,,ONCE,1,MO,1,Monday,21:00:00,23:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,67200748.png,,,,,,,28/12/2012,28/12/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Soulive,, Paradise Rock Club 967 Commonwealth Ave,  Boston, MA ,0,"
US $17.00 Ticket + US $6.50 Fees = US $23.50

last.fm
",,Concert,,, ,performance_based,16/01/2013,16/01/2013,,,ONCE,1,WE,1,Monday,19:30:00,22:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday, Soulive.jpg,,,,,,,16/01/2013,16/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Smokey Robinson: The Up Close And Personal Tour,, Wilbur Theatre 246 Tremont St,  Boston, MA ,0,"
Winner of 9 Tony Awards including Best Musical! From Trey Parker and Matt Stone  four-time Emmy Award-winning creators of South Park  and Tony Award-winner Robert Lopez  co-creator of the Tony Award-winning Best Musical Avenue Q  comes The Book of Mormon  a new Broadway musical that Jon Stewart of The Daily Show describes as  ""a crowning achievement  so good it makes me angry"" and by Entertainment

theatermania.com
",,Concert,,,"
www.thewilburtheatre.com
",performance_based,16/01/2013,16/01/2013,,,ONCE,1,,1,Monday,19:30:00,22:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,smokeyrobinson_medium_medium.jpg,,,,,,,16/01/2013,16/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Vaccines At Paradise Rock Club,, Paradise Rock Club 967 Commonwealth Ave,  Boston, MA ,36,"
Wiyohpiyata: Lakota Images of the Contested West explores the meanings of a recently discovered nineteenth-century ""artist's book "" in the collection of Houghton Library  that had been recovered from the Little Big Horn battlefield after Custer's defeat in 1876. The exhibit presents colored drawings by Plains Indian warriors from the book with historic Lakota objects from the Peabody's collections

artsboston.org
",,Concert,,, ,performance_based,29/01/2013,29/01/2013,,,ONCE,1,,1,Monday,20:00:00,22:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,64128019.png,,,,,,,29/01/2013,29/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, The Book Of Mormon,, 539 Washington St,  Boston, MA ,190,"
There is a good chance you've encountered Swoon's work before: her intricately cut  life-sized portraits have covered abandoned buildings and warehouses in cities around the world. Often found in beautiful states of decay  her wheat-pasted installations are populated by realistically rendered people going about everyday activities in a cityscape of her own invention. For the ICA's fifth installation

bostonusa.com
",,Theater/ Reading,,,"
boston.broadway.com
",performance_based,20/11/2012,20/11/2012,,,ONCE,1,,1,Monday,0:00:00,2:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,book_of_mormon_medium.jpg,,,,,,,20/11/2012,20/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Exhibition: Wiyohpiyata: Lakota Images Of The Contested West,, Peabody Museum Of Archaeology and Ethnology 11 Divinity Ave,  Cambridge, MA ,0,"
Children 6 and under are invited to join Harvard Museum of Natural History staff for Nature Storytime every Saturday & Sunday at 11 am & 2pm. Enjoy stories and poems designed to engage the next generation of explorers with themes related to the museum's galleries. For children 6 and under. Free with museum admission.

artsboston.org
",,Exhibition,,,"
www.peabody.harvard.edu
",performance_based,18/11/2012,18/11/2012,,,DAILY,1,,1,Monday,9:00:00,17:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,72_for_press_lo_res_medium.jpg,,,,,,,18/11/2012,18/11/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
, Swoon's Anthropocene Extinction At The Ica,," The Institute of Contemporary  Art ,100 Northern Ave, Boston",  Boston, MA ,0,"
Abstract photography challenges our popular view of photography as an objective image of reality by reasserting its constructed nature. In Walter Benjamin""s essay on the history of photography  the philosopher and critical theorist articulates photography""s "";second nature"" as its inherent ability to detach and abstract the visible from the real. Non-representational photography lives in this contested

artsboston.org
",,Theater/ Reading,,,"
www.icaboston.org
",openhour_based,18/11/2012,30/12/2012,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,20120721210017-Swoon-full.jpg,,,,,,,18/11/2012,30/12/2012,ONCE,1,,1,Monday,,,,,,,,,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,17:00:00,10:00:00,17:00:00
, Fishes  A new Exhibition,, Harvard Arts Museum 26 Oxford St,  Cambridge, MA,0,Children 6 and under are invited to join Harvard Museum of Natural History staff for Nature Storytime every Saturday & Sunday at 11 am & 2pm. Enjoy stories and poems designed to engage the next generation of explorers with themes related to the museum's galleries. For children 6 and under. Free with museum admission. artsboston.org,,,,,,performance_based,18/11/2012,31/05/2014,,,WEEKLY,1,"SA,SU",1,Monday,11:00:00,1:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,mollusks_2_medium.jpg,,,,,,,18/11/2012,31/05/2014,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
