Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Type of Event,Event_Genre,Audience,Link,Schedule Type,Final_Start_date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
,Childrens Films,,East Boston Branch,of the Boston Public Library,"276 Meridian Street, East Boston, MA",0,Films are shown on Fridays at 10 and 11 am.,,Movies,,Children,,performance_based,26/10/2012,01/11/2013,,,WEEKLY,1,FR,1,Monday,10:00:00,11:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.png,,,,,,,26/10/2012,01/11/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Childrens Films,,Connolly Branch Boston Public Library,433 Centre Street,"Jamaica Plain,",0,"Short, fun films for young children.  Groups welcome.",,Movies,,Children,,performance_based,24/10/2012,16/01/2013,,,WEEKLY,1,WE,1,Monday,10:30:00,11:15:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.png,,,,,,,24/10/2012,16/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Bye Bye Liver: The Boston Drinking Play,,United States,Hennessys,25 Union St,20,"Bye Bye Liver, a national sketch comedy play, began 6 years ago in Chicago. It has since opened additional chapters in 8 other major cities across the US, with Boston being its newest market! Bye Bye Liver is a fun, fast-paced comedic romp that takes a satirical look at the pratfalls and pitfalls of drinking culture. Whether its the person we all know that should never, ever drink liquor or a terrifying (yet enlightening) look into the Ladies Room at the club, every drinking danger is captured in hilarious detail. And its all interspersed with interactive social games with the audience.@BostonDrinkers   #BBLboston www.facebook.com/ByeByeLiverBoston<br />www.byebyeliver.com/BostonThis event is audiences 21+.",,Theater,,Adults,thepubtheater.thundertix.com,performance_based,26/10/2012,01/11/2013,,,WEEKLY,1,FR,1,Monday,19:30:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,ByeByeLiver.jpg,,,,,,,26/10/2012,01/11/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Bye Bye Liver: The Boston Drinking Play,,Hennessys of Boston,25 Union St,"Boston, MA 02108",20,"2 Parts Sketch Comedy, 1 Part Drinking Game.<br />Originating in Chicago, and now a hit in 8 US cities, the show distills the best and worst of the bars into 75-min of booze-culture themed skits, mixed with audience-wide drinking games.",,Theater,,Adults,www.byebyeliver.com,performance_based,26/10/2012,01/11/2013,,,WEEKLY,1,FR,1,Monday,20:00:00,21:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,ByeByeLiver.jpg,,,,,,,26/10/2012,01/11/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Salsa Music and Dance Classes in Kendall Square,,The Masacote School at Cambridge Athletic Center,215 1st St,"Cambridge, MA 02142",15,"New Session starts October 2nd.Learn the foundations of Salsa with a company focused on both Music and Dance. If youre looking to start salsa dancing today, there is no better way to start than with world-class instructors.All Level 1 students get a ONE MONTH FREE membership to Ryles Salsa Sundays.Salsa Classes (Split Levels) on Tues & Thurs 7:30-10:00pm<br />Afro Cuban Movement Classes 8-11:00pmCost: $12-$15 drop in ($89 or $109/month)<br />20% off Student & Couple DiscountsVisit Website for more details.",,Workshops,,Adults,www.masacote.com,performance_based,25/10/2012,06/12/2012,,,WEEKLY,1,"TU,TH",1,Monday,19:30:00,23:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,Masacote_logo.jpg,,,,,,,25/10/2012,12/06/2012,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Preschool Films and Fun,,1520 Dorchester Avenue,Dorchester,Dorchester,0,Preschool fun for kids ages 2 and up.,,Movies,,Children,,performance_based,24/10/2012,16/01/2013,,,WEEKLY,1,WE,1,Monday,10:30:00,11:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.jpg,,,,,,,24/10/2012,16/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Preschool Films,,Dudley Branch of the Boston Public Library,65 Warren Street,Roxbury MA,0,"On Tuesdays at 10:30 am, bring your child to the Dudley Branch for a preschool film. Be sure to call in advance to verify that this event has not been rescheduled or canceled.",,Movies,,Children,,performance_based,30/10/2012,15/01/2013,,,WEEKLY,1,TU,1,Monday,10:30:00,11:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.jpg,,,,,,,30/10/2012,15/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Preschool Storyhour,,151 Cambridge Street,,,0,for children ages 3 to 5 accompanied by an adult.,,Reading,,Children,,performance_based,30/10/2012,15/01/2013,,,WEEKLY,1,TU,1,Monday,10:30:00,11:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.jpg,,,,,,,30/10/2012,15/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Films for Children,,25 Parmenter Street,,,0,"On Mondays, come and watch children films at the North End Branch. Please call in advance to verify that this event has not been rescheduled or canceled.",,Movies,,Children,,performance_based,29/10/2012,14/01/2013,,,WEEKLY,1,MO,1,Monday,11:00:00,12:00:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.jpg,,,,,,,29/10/2012,14/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
,Films for Preschool Children,,Roslindale Branch Boston Public Library,4246 Washington Street,Roslindale MA 02131,0,Preschool films are for children ages 3 to 5. Children must be accompanied by an adult. Please call in advance to verify that this event has not been rescheduled or cancelled.,,Movies,,Children,,performance_based,29/10/2012,14/01/2013,,,WEEKLY,1,MO,1,Monday,10:30:00,11:30:00,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,,,,,,,,,ONCE,1,,1,Monday,BostonPublicLibrary_logo.jpg,,,,,,,29/10/2012,14/01/2013,ONCE,1,,1,Monday,,,,,,,,,,,,,,,,,,,,
